MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/10/17 13:30:51.264),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,
16,calibration-verification-instructions,11,0.18066,341773176427,0.48688,0.26709,0.00000,0.18067,1,1,0.47109,0.31671,1,0.42917,0.08762,0,,0.24602,0.53079,17.88839,1.07158,1,0.60414,0.50307,18.86720,1.07158,1,0,0.00000,4,4.23828,1,4.89037,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,0.00000,0.00000,
16,calibration-verification-instructions,27,0.44434,341775814345,0.44093,0.25101,0.19727,0.24707,2,1,0.30346,0.21160,1,0.42917,0.08762,0,,0.23612,0.53201,17.51472,1.06265,1,0.59400,0.50230,18.48672,1.06265,1,0,0.00000,4,4.28051,1,5.00668,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,79.02087,167.66278,
16,calibration-verification-instructions,46,0.75635,341778931754,0.29387,0.23619,0.51172,0.24463,3,1,0.49404,0.18598,1,0.42917,0.08762,0,,0.24004,0.53480,16.90218,1.04479,1,0.59722,0.50438,17.85246,1.05372,1,0,0.00000,4,4.11987,1,4.35293,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,247.55035,176.39601,
16,calibration-verification-instructions,63,1.03711,341781741407,0.61113,0.25962,0.82227,0.21484,4,1,0.65361,0.31817,1,0.42917,0.08762,0,,0.24016,0.52775,15.87755,0.96220,1,0.59863,0.49133,17.76692,0.97113,1,0,0.00000,4,4.05678,1,4.26340,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,533.56421,357.35727,
16,calibration-verification-instructions,79,1.29785,341784349183,0.64925,0.30145,1.10059,0.19727,5,1,0.47983,0.32340,1,0.42917,0.08762,0,,0.25499,0.53289,15.64790,1.01243,1,0.61443,0.50006,17.87995,1.02024,1,0,0.00000,4,3.75152,1,4.44717,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,77.65584,325.55661,
16,calibration-verification-instructions,102,1.67578,341788128419,0.27912,0.52021,1.41309,0.26270,6,1,0.33906,0.48856,1,0.42917,0.08762,0,,0.24186,0.53615,15.72075,1.00015,1,0.60458,0.50077,17.92756,1.00015,1,0,0.00000,4,3.83766,1,4.25545,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,662.88708,200.27408,
16,calibration-verification-instructions,120,1.97217,341791092381,0.62100,0.47747,1.74268,0.22949,7,1,0.70324,0.50748,1,0.42917,0.08762,0,,0.25809,0.53322,17.49094,1.02136,1,0.62156,0.50165,18.01019,1.00461,1,0,0.00000,4,4.11677,1,4.39362,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,576.10895,4.46768,
16,calibration-verification-instructions,134,2.20166,341793385749,0.58700,0.56929,1.98828,0.21338,8,1,0.36586,0.69142,1,0.42917,0.08762,0,,0.23787,0.54007,15.74577,0.98453,1,0.60027,0.50483,18.06727,0.97671,1,0,0.00000,4,3.85551,1,4.37767,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,112.06144,239.35480,
16,calibration-verification-instructions,151,2.48145,341796185801,0.45266,0.65555,2.26758,0.21387,9,1,0.63952,0.67505,1,0.42917,0.08762,0,,0.24356,0.53743,16.53089,1.01020,1,0.60645,0.50271,18.12058,1.00238,1,0,0.00000,4,4.17012,1,4.57715,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,243.18718,201.86629,
17,calibration-verification-image,23,0.38086,341800319407,0.35540,0.24603,0.08154,0.29932,2,1,0.22999,0.22408,1,0.42917,0.08762,0,,0.21572,0.52250,17.66638,1.00015,1,0.57922,0.48309,19.28414,1.00015,1,0,0.00000,4,4.56799,1,4.72374,1,0.00000,0,0.00000,0,0.00000,0,1,1,0,0.00000,0,,459.99466,110.80659,
