subj,cond,AOI,duration,order
User 1,grid,bb,0.322390,1
User 1,grid,bb,0.363000,2
User 1,grid,bb,1.729370,3
User 1,grid,cb,1.319520,4
User 1,grid,db,1.148250,5
User 1,grid,db,1.091240,6
User 1,grid,cb,0.958440,7
User 1,grid,bb,1.302640,8
User 1,grid,ba,1.105040,9
User 1,grid,ca,1.170900,10
User 1,grid,da,2.456720,11
User 1,grid,ca,0.252290,12
User 1,grid,da,0.289520,13
User 1,grid,da,0.032660,14
User 1,grid,aa,0.197720,15
User 1,grid,ca,0.263860,16
User 1,grid,ba,0.857390,17
User 1,grid,ca,0.230400,18
User 1,p1,ca,0.148620,19
User 1,p1,cb,0.214260,20
User 1,p1,cb,0.478090,21
User 1,p1,cb,0.157110,22
User 1,p1,bb,0.082520,23
User 1,p1,bb,0.214230,24
User 1,p1,cb,1.434480,25
User 1,p1,cb,1.253750,26
User 1,p1,ca,0.091370,27
User 1,p1,ca,0.935370,28
User 1,p1,ca,1.470120,29
User 1,p1,cb,0.012430,30
User 1,p1,cb,0.923680,31
User 1,p1,cb,0.117340,32
User 1,p1,ca,0.774350,33
User 1,p1,ca,0.990090,34
User 1,p2,cb,1.469730,35
User 1,p2,cb,2.539280,36
User 1,p2,ba,0.033600,37
User 1,p2,ca,0.264830,38
User 1,p2,ba,0.148370,39
User 2,grid,cb,0.275360,40
User 2,grid,bb,0.097750,41
User 2,grid,bb,1.218660,42
User 2,grid,ab,0.345620,43
User 2,grid,cb,0.906860,44
User 2,grid,cb,0.216620,45
User 2,grid,db,0.062380,46
User 2,grid,db,0.340850,47
User 2,grid,db,0.363280,48
User 2,grid,db,0.274020,49
User 2,grid,db,1.545260,50
User 2,grid,db,0.015630,51
User 2,grid,ca,0.144250,52
User 2,grid,cb,0.989160,53
User 2,grid,bb,0.164450,54
User 2,grid,bb,0.033120,55
User 2,grid,bb,0.923120,56
User 2,grid,ba,1.025640,57
User 2,grid,ca,0.857270,58
User 2,grid,da,0.527860,59
User 2,grid,da,0.016510,60
User 2,grid,da,1.046390,61
User 2,grid,da,0.429440,62
User 2,p1,da,0.049380,63
User 2,p1,da,0.293890,64
User 2,p1,cb,0.012360,65
User 2,p1,ca,0.208350,66
User 2,p1,cb,0.082220,67
User 2,p1,cb,1.552980,68
User 2,p1,cb,1.172490,69
User 2,p1,ca,0.988990,70
User 2,p1,ca,1.542820,71
User 2,p1,cb,1.484040,72
User 2,p1,ca,1.038700,73
User 2,p1,ca,0.280240,74
User 2,p2,bb,0.168890,75
User 2,p2,ca,0.016480,76
User 2,p2,cb,0.989260,77
User 2,p2,ca,0.703250,78
User 2,p2,cb,0.297120,79
User 2,p2,cb,0.530520,80
User 2,p2,cb,0.049660,81
User 2,p2,bb,0.186370,82
User 2,p2,bb,0.066290,83
