subj,cond,AOI,duration,order
User 1,grid,bc,0.263490,1
User 1,grid,bc,0.049500,2
User 1,grid,bc,0.082340,3
User 1,grid,bc,0.182250,4
User 1,grid,ac,0.032990,5
User 1,grid,bc,0.428740,6
User 1,grid,bc,0.161990,7
User 1,grid,bc,0.181250,8
User 1,grid,bc,0.774990,9
User 1,grid,bc,0.017360,10
User 1,grid,bc,0.131890,11
User 1,grid,cc,1.104490,12
User 1,grid,cc,0.016880,13
User 1,grid,dc,0.890380,14
User 1,grid,dc,0.181370,15
User 1,grid,dc,0.016380,16
User 1,grid,db,0.016510,17
User 1,grid,db,0.201360,18
User 1,grid,db,0.016360,19
User 1,grid,db,0.280150,20
User 1,grid,db,0.464840,21
User 1,grid,cb,0.482480,22
User 1,grid,cb,0.031500,23
User 1,grid,cb,0.346370,24
User 1,grid,bb,0.362910,25
User 1,grid,bb,0.171990,26
User 1,grid,bb,0.083190,27
User 1,grid,bb,0.609710,28
User 1,grid,bb,0.066010,29
User 1,grid,bb,0.032860,30
User 1,grid,ba,0.156490,31
User 1,grid,ba,0.082980,32
User 1,grid,ba,0.017490,33
User 1,grid,bb,0.372220,34
User 1,grid,ba,0.016390,35
User 1,grid,bb,0.198030,36
User 1,grid,ba,0.069000,37
User 1,grid,ca,0.017180,38
User 1,grid,ba,0.063230,39
User 1,grid,ca,0.031740,40
User 1,grid,ca,0.214380,41
User 1,grid,cb,0.065460,42
User 1,grid,ca,0.082250,43
User 1,grid,cb,0.044100,44
User 1,grid,ca,0.250240,45
User 1,grid,ca,0.164890,46
User 1,grid,da,0.212500,47
User 1,grid,da,0.131750,48
User 1,grid,da,0.082360,49
User 1,grid,da,0.082360,50
User 1,grid,da,0.037880,51
User 1,grid,da,0.280120,52
User 1,grid,da,0.097870,53
User 1,grid,db,0.016360,54
User 1,grid,da,0.016850,55
User 1,grid,da,0.095490,56
User 1,grid,da,0.132380,57
User 1,grid,da,0.033150,58
User 1,grid,da,0.230680,59
User 1,grid,da,0.037780,60
User 1,grid,da,0.483730,61
User 1,grid,da,0.008760,62
User 1,grid,cb,0.221620,63
User 1,grid,da,0.181360,64
User 1,grid,da,0.016510,65
User 1,grid,da,0.042000,66
User 1,grid,cb,0.132230,67
User 1,grid,cb,0.115360,68
User 1,grid,ca,0.016840,69
User 1,grid,ca,0.048370,70
User 1,grid,ca,0.099000,71
