subj,cond,AOI,duration,order
User 2,p2,bc,0.013740,1
User 2,p2,bb,0.099490,2
User 2,p2,cb,0.230740,3
User 2,p2,cc,0.296750,4
User 2,p2,cc,0.066500,5
User 2,p2,cc,0.016350,6
User 2,p2,cb,0.008730,7
User 2,p2,cc,0.049500,8
User 2,p2,cb,0.066010,9
User 2,p2,cb,0.021390,10
User 2,p2,cb,0.011050,11
User 2,p2,cb,0.099280,12
User 2,p2,cb,0.191870,13
User 2,p2,cb,0.246980,14
User 2,p2,cb,0.051240,15
User 2,p2,cb,0.017240,16
User 2,p2,cb,0.051210,17
User 2,p2,cc,0.032510,18
User 2,p2,cb,0.132010,19
User 2,p2,cc,0.144010,20
User 2,p2,cc,0.066860,21
User 2,p2,cb,0.055020,22
User 2,p2,cc,0.015630,23
User 2,p2,bc,0.016660,24
User 2,p2,bc,0.063630,25
User 2,p2,bb,0.048280,26
