subj,cond,AOI,duration,order
User 10,page1,bc,0.229100,1
User 10,page1,bc,0.016460,2
User 10,page1,bc,0.229740,3
User 10,page1,bc,0.115130,4
User 10,page1,bc,0.016210,5
User 10,page1,bc,0.014130,6
User 10,page1,bc,0.210420,7
User 10,page1,bc,0.262340,8
User 10,page1,bc,0.018250,9
User 10,page1,bc,0.312500,10
User 10,page1,bb,0.295630,11
User 10,page1,bb,0.164090,12
User 10,page1,bb,0.149150,13
User 10,page1,bb,0.147170,14
User 10,page1,cb,0.033020,15
User 10,page1,cb,0.032250,16
User 10,page1,cb,0.016480,17
User 10,page1,cc,0.032900,18
User 10,page1,cc,0.065850,19
User 10,page1,cc,0.164220,20
User 10,page1,cc,0.016460,21
User 10,page1,bb,0.148800,22
User 10,page1,bb,0.018050,23
User 10,page1,cb,0.017040,24
User 10,page1,cb,0.179520,25
User 10,page1,ca,0.163170,26
User 10,page1,cb,0.066340,27
User 10,page1,cb,0.246520,28
User 10,page1,cc,0.017030,29
User 10,page1,cb,0.081420,30
User 10,page1,cc,0.624260,31
