subj,cond,AOI,duration,order
User 9,calib-verif,bc,0.066400,1
User 9,calib-verif,bc,0.098880,2
User 9,calib-verif,bb,0.012200,3
User 9,calib-verif,bc,0.050050,4
User 9,calib-verif,ac,0.147220,5
User 9,calib-verif,ac,0.115970,6
User 9,calib-verif,ac,0.032220,7
User 9,calib-verif,ac,0.016850,8
User 9,calib-verif,ac,0.181150,9
User 9,calib-verif,ac,0.032960,10
User 9,calib-verif,ac,0.180910,11
User 9,calib-verif,ac,0.015870,12
User 9,calib-verif,ac,0.016360,13
User 9,calib-verif,ac,0.211670,14
User 9,calib-verif,ac,0.016600,15
User 9,calib-verif,ac,0.032720,16
User 9,calib-verif,bc,0.016840,17
User 9,calib-verif,ac,0.150630,18
User 9,calib-verif,bc,0.098870,19
User 9,calib-verif,ac,0.197030,20
User 9,calib-verif,ac,0.098640,21
User 9,calib-verif,bc,0.016850,22
User 9,calib-verif,ac,0.195310,23
User 9,calib-verif,bc,0.362060,24
User 9,calib-verif,bc,0.328370,25
User 9,calib-verif,cc,0.228760,26
User 9,calib-verif,cc,0.132080,27
User 9,calib-verif,bc,0.032230,28
User 9,calib-verif,cc,0.098140,29
User 9,calib-verif,bc,0.296150,30
User 9,calib-verif,bc,0.346190,31
User 9,calib-verif,bc,0.031250,32
User 9,calib-verif,cc,0.148440,33
User 9,calib-verif,cc,0.014400,34
User 9,calib-verif,cc,0.197270,35
User 9,calib-verif,cc,0.020020,36
User 9,calib-verif,cc,0.065180,37
User 9,calib-verif,dc,0.132080,38
User 9,calib-verif,dc,0.756100,39
User 9,calib-verif,dc,0.015870,40
User 9,calib-verif,dc,0.394290,41
User 9,calib-verif,dc,0.262450,42
User 9,calib-verif,dc,0.033450,43
User 9,calib-verif,dc,0.082270,44
User 9,calib-verif,cc,0.032720,45
User 9,calib-verif,dc,0.032470,46
User 9,calib-verif,dc,0.576170,47
User 9,calib-verif,dc,0.016360,48
User 9,calib-verif,dc,0.049320,49
User 9,calib-verif,ab,0.261230,50
User 9,calib-verif,bb,0.330320,51
User 9,calib-verif,ab,0.048830,52
User 9,calib-verif,ab,0.015630,53
User 9,calib-verif,ab,0.523690,54
User 9,calib-verif,ab,0.016360,55
User 9,calib-verif,ab,0.081050,56
User 9,calib-verif,ab,0.394770,57
User 9,calib-verif,bb,0.033210,58
User 9,calib-verif,bb,0.130130,59
User 9,calib-verif,ab,0.016120,60
User 9,calib-verif,bb,0.016600,61
User 9,calib-verif,ab,0.031490,62
User 9,calib-verif,bb,0.033450,63
User 9,calib-verif,bb,0.049810,64
User 9,calib-verif,ab,0.049310,65
User 9,calib-verif,bb,0.017580,66
User 9,calib-verif,ab,0.065920,67
User 9,calib-verif,ab,0.313480,68
User 9,calib-verif,bb,0.016360,69
User 9,calib-verif,ab,0.049320,70
User 9,calib-verif,bb,0.015870,71
User 9,calib-verif,bb,0.033690,72
User 9,calib-verif,bb,0.016110,73
User 9,calib-verif,cb,0.032470,74
User 9,calib-verif,cb,0.131350,75
User 9,calib-verif,bb,0.049560,76
User 9,calib-verif,cb,0.016600,77
User 9,calib-verif,cb,0.016600,78
User 9,calib-verif,bb,0.082030,79
User 9,calib-verif,cb,0.016120,80
User 9,calib-verif,cb,0.015140,81
User 9,calib-verif,cb,0.050530,82
User 9,calib-verif,cb,0.098390,83
User 9,calib-verif,cb,0.016360,84
User 9,calib-verif,bb,0.032230,85
User 9,calib-verif,bb,0.015870,86
User 9,calib-verif,bb,0.050530,87
User 9,calib-verif,cb,0.053470,88
User 9,calib-verif,cb,0.017090,89
User 9,calib-verif,bb,0.082280,90
User 9,calib-verif,cb,0.032960,91
User 9,calib-verif,cb,0.017330,92
User 9,calib-verif,cb,0.066410,93
User 9,calib-verif,bb,0.113040,94
User 9,calib-verif,bb,0.148440,95
User 9,calib-verif,cb,0.014890,96
User 9,calib-verif,bb,0.049070,97
User 9,calib-verif,bb,0.377690,98
User 9,calib-verif,bb,0.237550,99
User 9,calib-verif,bb,0.049320,100
User 9,calib-verif,bb,0.066400,101
User 9,calib-verif,db,0.312010,102
User 9,calib-verif,db,0.162350,103
User 9,calib-verif,db,0.130860,104
User 9,calib-verif,db,0.312250,105
User 9,calib-verif,db,0.180660,106
User 9,calib-verif,db,0.377930,107
User 9,calib-verif,db,0.032470,108
User 9,calib-verif,db,0.114750,109
User 9,calib-verif,db,0.690430,110
User 9,calib-verif,db,0.032710,111
User 9,calib-verif,db,0.195560,112
User 9,calib-verif,ab,0.014410,113
User 9,calib-verif,ba,0.625970,114
User 9,calib-verif,ba,0.409670,115
User 9,calib-verif,ca,0.706540,116
User 9,calib-verif,ca,0.098390,117
User 9,calib-verif,aa,0.490480,118
User 9,calib-verif,ba,0.115240,119
User 9,calib-verif,aa,0.049070,120
User 9,calib-verif,ca,0.098380,121
User 9,calib-verif,ca,0.016360,122
User 9,calib-verif,cb,0.017820,123
User 9,calib-verif,ca,0.393070,124
User 9,calib-verif,ca,0.082030,125
User 9,calib-verif,ca,0.213870,126
User 9,calib-verif,ca,0.196770,127
User 9,calib-verif,cb,0.082280,128
User 9,calib-verif,ca,0.970700,129
User 9,calib-verif,bb,0.011230,130
User 9,calib-verif,ca,0.114510,131
User 9,calib-verif,ba,0.032470,132
User 9,calib-verif,da,0.689940,133
User 9,calib-verif,da,0.591310,134
User 9,calib-verif,da,0.164300,135
User 9,calib-verif,da,0.114990,136
User 9,calib-verif,da,0.395020,137
User 9,calib-verif,da,0.050050,138
User 9,calib-verif,da,0.032710,139
User 9,calib-verif,da,1.542970,140
