subj,cond,AOI,duration,order
User 6,page2,ca,0.214350,1
User 6,page2,bb,0.016350,2
User 6,page2,bc,0.016360,3
User 6,page2,bc,0.033570,4
User 6,page2,bc,0.213500,5
User 6,page2,bc,0.016840,6
User 6,page2,bc,0.066400,7
User 6,page2,bc,0.558600,8
User 6,page2,bc,0.115110,9
User 6,page2,cc,0.234490,10
User 6,page2,bc,0.016360,11
User 6,page2,cc,0.014280,12
User 6,page2,cc,0.016480,13
User 6,page2,cc,0.657840,14
User 6,page2,bc,0.015990,15
User 6,page2,bc,0.049310,16
User 6,page2,bc,0.330080,17
User 6,page2,bc,0.035030,18
User 6,page2,bc,0.608390,19
User 6,page2,bc,0.016850,20
User 6,page2,bc,0.194700,21
User 6,page2,bc,0.020510,22
User 6,page2,bc,0.116950,23
User 6,page2,cc,0.033210,24
User 6,page2,cc,0.049310,25
User 6,page2,bc,0.032830,26
User 6,page2,bc,0.180540,27
User 6,page2,bc,0.115360,28
User 6,page2,cc,0.164180,29
User 6,page2,cc,0.148190,30
User 6,page2,cc,0.016720,31
User 6,page2,cc,0.163690,32
User 6,page2,cc,0.033200,33
User 6,page2,cc,0.197030,34
User 6,page2,cc,0.030640,35
User 6,page2,cc,0.213250,36
User 6,page2,bc,0.065550,37
User 6,page2,bc,0.032470,38
User 6,page2,bc,0.065430,39
User 6,page2,bc,0.557500,40
User 6,page2,bc,0.032600,41
User 6,page2,bc,0.692010,42
User 6,page2,bc,0.216310,43
User 6,page2,cc,0.145380,44
User 6,page2,cc,0.065300,45
User 6,page2,cc,0.130250,46
User 6,page2,cc,0.064700,47
User 6,page2,cc,0.016480,48
User 6,page2,cc,0.162720,49
User 6,page2,cc,0.409550,50
User 6,page2,cc,0.016480,51
User 6,page2,cc,0.168340,52
User 6,page2,cc,0.230350,53
User 6,page2,cc,0.050050,54
User 6,page2,bc,0.081790,55
User 6,page2,bc,0.082400,56
User 6,page2,bc,0.113040,57
User 6,page2,bc,0.032960,58
User 6,page2,bc,0.082400,59
User 6,page2,bc,0.180180,60
User 6,page2,cc,0.165160,61
User 6,page2,cc,0.114860,62
User 6,page2,cc,0.016230,63
User 6,page2,cc,0.098510,64
User 6,page2,cc,0.114990,65
User 6,page2,cc,0.113290,66
User 6,page2,cc,0.148560,67
User 6,page2,bc,0.298340,68
User 6,page2,bc,0.180540,69
User 6,page2,bc,0.331180,70
User 6,page2,cc,0.016350,71
User 6,page2,cc,0.033320,72
User 6,page2,bc,0.081910,73
User 6,page2,bc,0.032710,74
User 6,page2,bc,0.030770,75
User 6,page2,bc,0.016480,76
User 6,page2,bc,0.130610,77
