subj,stimulus,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
User 26,calibration,0.081540,688.640400,259.974750,0.033690,0.000000,
User 26,calibration,0.131840,649.017600,267.515500,0.163570,0.000000,
User 26,calibration,0.380860,408.364708,290.980442,0.473140,241.794165,
User 26,calibration,0.870610,391.783754,284.516885,0.229490,17.796225,
User 26,calibration,1.116700,411.453771,299.081679,1.643070,24.475351,
User 26,calibration,2.828130,782.611200,266.897750,0.112300,372.550187,
User 26,calibration,2.974610,804.334720,239.111600,0.359860,35.270121,
User 26,calibration,3.482420,818.563200,216.300000,0.016600,26.885288,
User 26,calibration,3.531740,859.437600,298.840500,0.032220,92.106735,
User 26,calibration,3.580570,825.031200,259.228200,0.082030,52.468416,
User 26,calibration,3.679200,830.377200,305.892750,0.279300,46.969777,
User 26,calibration,3.991210,836.362800,189.323750,0.101080,116.722574,
User 26,calibration,4.123050,776.479200,304.090500,0.032710,129.450579,
User 26,calibration,4.188960,856.707600,210.845250,0.033210,123.009239,
User 26,calibration,4.270510,810.717600,250.939500,0.017090,61.013351,
User 26,calibration,4.319820,797.714400,335.805750,0.049810,85.856646,
User 26,calibration,4.402340,830.944800,280.906500,0.016610,64.173103,
User 26,calibration,4.435060,842.721600,322.941500,0.066400,43.653571,
User 26,calibration,4.553220,828.788100,243.338812,0.146000,80.812934,
User 26,calibration,4.715330,818.771262,250.578865,0.591310,12.359426,
User 26,calibration,5.404790,800.704800,237.788250,0.032710,22.135873,
User 26,calibration,5.520510,1281.468000,246.165000,0.114260,480.836172,
User 26,calibration,5.667480,1230.760094,320.764500,0.656740,90.201869,
User 26,calibration,6.340820,1238.341067,304.220000,0.147950,18.198671,
User 26,calibration,6.506840,1214.085600,379.659000,0.016110,79.242478,
User 26,calibration,6.539550,1189.213200,313.215000,0.047850,70.946751,
User 26,calibration,6.604000,1218.098933,297.892000,0.165530,32.698317,
User 26,calibration,6.784180,1245.262667,285.223167,0.181150,29.972783,
User 26,calibration,6.998050,1223.688126,320.161026,0.344720,41.062329,
User 26,calibration,7.376460,1233.674400,246.676500,0.082040,74.159971,
User 26,calibration,7.475100,1230.062925,288.326719,0.525390,41.806500,
User 26,calibration,8.131840,333.211200,487.851000,0.016110,918.777969,
User 26,calibration,8.181150,389.307861,551.470500,0.493170,84.819079,
User 26,calibration,8.690430,371.615354,535.486269,0.444340,23.843667,
User 26,calibration,9.151860,384.508011,525.528039,1.411620,16.290701,
User 26,calibration,10.580080,370.198080,517.692000,0.196290,16.314951,
User 26,calibration,10.841800,835.690667,485.484333,1.135740,466.605489,
User 26,calibration,12.008790,807.248400,526.674750,0.032710,50.056098,
User 26,calibration,12.074220,844.712400,433.938750,0.032710,100.017583,
User 26,calibration,12.123540,830.378640,479.244500,0.493160,47.519129,
User 26,calibration,12.632810,828.341788,511.678588,0.295900,32.497982,
User 26,calibration,12.961910,837.459247,469.915147,0.312020,42.747083,
User 26,calibration,13.359860,1267.509600,488.832750,0.033210,430.466238,
User 26,calibration,13.414550,1286.997600,546.294000,0.010250,60.676003,
User 26,calibration,13.437990,1249.416000,527.631300,0.084960,41.960375,
User 26,calibration,13.536620,1257.033032,519.201789,0.673340,11.361154,
User 26,calibration,14.227540,1292.155200,499.369500,0.032710,40.334680,
User 26,calibration,14.276860,1248.778160,533.746850,0.524410,55.347717,
User 26,calibration,14.817870,1252.752978,527.028444,0.476080,7.806161,
User 26,calibration,15.311040,1251.705000,511.255500,0.065420,15.807721,
User 26,calibration,15.409180,1202.745600,593.050500,0.032710,95.328091,
User 26,calibration,15.458500,1272.451200,545.022000,0.131830,84.649911,
User 26,calibration,15.606930,1239.016800,523.152000,0.016610,39.951921,
User 26,calibration,15.639650,1261.340640,552.778800,0.098630,37.095837,
User 26,calibration,15.754390,1252.367200,533.690500,0.049320,21.092317,
User 26,calibration,15.921390,397.040000,767.026500,0.407220,886.583503,
User 26,calibration,16.345210,429.592800,775.089000,0.018560,33.536379,
User 26,calibration,16.377930,389.284945,757.734904,1.413090,43.884939,
User 26,calibration,17.826660,380.061287,753.461283,0.375490,10.165613,
User 26,calibration,18.218750,387.760800,766.983000,0.016110,15.560185,
User 26,calibration,18.333980,837.151636,706.145045,0.360840,453.490221,
User 26,calibration,18.711430,874.456800,713.664000,0.016600,38.055353,
User 26,calibration,18.761230,826.333582,695.408557,0.722170,51.469460,
User 26,calibration,19.500000,803.208000,740.565000,0.032710,50.733587,
User 26,calibration,19.549320,841.926400,708.683818,0.574700,50.155002,
User 26,calibration,20.140630,826.457100,692.666625,0.131340,22.267683,
User 26,calibration,20.288570,828.150831,710.343577,0.461920,17.757910,
User 26,calibration,20.816890,1280.258933,767.971167,0.161630,455.766032,
User 26,calibration,20.995120,1275.790855,747.187636,0.804680,21.258383,
User 26,calibration,21.815920,1266.385867,753.139333,0.180660,11.129982,
